Date:                  	Tue Apr 07 12:03:43 ADT 2026
Spectrometer:          	USB4F05747
Lamp SN:               	Lamp Intensity Preview
Integration Time (sec):	6.929000E-2
Scans to average:      	5
Boxcar width:          	1
Integrating sphere	

Wavelength           	 [uJoule/count]           
196.61349            	 0.0                      
196.8303298154451    	 0.0                      
197.0471608199384    	 0.0                      
197.26398301071683   	 0.0                      
197.4807963850174    	 0.0                      
197.6976009400771    	 0.0                      
197.91439667313287   	 0.0                      
198.13118358142177   	 0.0                      
198.3479616621807    	 0.0                      
198.56473091264667   	 0.0                      
198.78149133005664   	 0.0                      
198.99824291164765   	 0.0                      
199.21498565465663   	 0.0                      
199.43171955632053   	 0.0                      
199.64844461387642   	 0.0                      
199.86516082456117   	 0.0                      
200.08186818561188   	 0.0                      
200.29856669426542   	 0.0                      
200.51525634775882   	 0.0                      
200.73193714332908   	 0.0                      
200.9486090782131    	 0.0                      
201.165272149648     	 0.0                      
201.38192635487061   	 0.0                      
201.59857169111805   	 0.0                      
201.81520815562718   	 0.0                      
202.03183574563505   	 0.0                      
202.24845445837855   	 0.0                      
202.4650642910948    	 0.0                      
202.68166524102065   	 0.0                      
202.89825730539317   	 0.0                      
203.11484048144928   	 0.0                      
203.331414766426     	 0.0                      
203.5479801575603    	 0.0                      
203.76453665208916   	 0.0                      
203.98108424724956   	 0.0                      
204.19762294027845   	 0.0                      
204.41415272841286   	 0.0                      
204.6306736088897    	 0.0                      
204.84718557894607   	 0.0                      
205.06368863581878   	 0.0                      
205.280182776745     	 0.0                      
205.49666799896153   	 0.0                      
205.71314429970548   	 0.0                      
205.9296116762138    	 0.0                      
206.14607012572338   	 0.0                      
206.36251964547134   	 0.0                      
206.57896023269456   	 0.0                      
206.79539188463008   	 0.0                      
207.01181459851483   	 0.0                      
207.2282283715858    	 0.0                      
207.44463320108      	 0.0                      
207.66102908423443   	 0.0                      
207.87741601828597   	 0.0                      
208.0937940004717    	 0.0                      
208.31016302802854   	 0.0                      
208.52652309819348   	 0.0                      
208.74287420820357   	 0.0                      
208.95921635529567   	 0.0                      
209.17554953670685   	 0.0                      
209.39187374967403   	 0.0                      
209.60818899143428   	 0.0                      
209.82449525922445   	 0.0                      
210.04079255028162   	 0.0                      
210.25708086184275   	 0.0                      
210.4733601911448    	 0.0                      
210.68963053542478   	 0.0                      
210.90589189191962   	 0.0                      
211.12214425786635   	 0.0                      
211.33838763050193   	 0.0                      
211.55462200706333   	 0.0                      
211.77084738478754   	 0.0                      
211.98706376091155   	 0.0                      
212.20327113267228   	 0.0                      
212.41946949730684   	 0.0                      
212.63565885205205   	 0.0                      
212.85183919414501   	 0.0                      
213.06801052082267   	 0.0                      
213.28417282932196   	 0.0                      
213.50032611687993   	 0.0                      
213.71647038073348   	 0.0                      
213.9326056181197    	 0.0                      
214.14873182627545   	 0.0                      
214.36484900243784   	 0.0                      
214.5809571438437    	 0.0                      
214.79705624773015   	 0.0                      
215.01314631133405   	 0.0                      
215.22922733189247   	 0.0                      
215.44529930664237   	 0.0                      
215.66136223282066   	 0.0                      
215.87741610766443   	 0.0                      
216.09346092841056   	 0.0                      
216.30949669229614   	 0.0                      
216.52552339655804   	 0.0                      
216.74154103843327   	 0.0                      
216.95754961515883   	 0.0                      
217.17354912397172   	 0.0                      
217.38953956210887   	 0.0                      
217.60552092680732   	 0.0                      
217.82149321530403   	 0.0                      
218.0374564248359    	 0.0                      
218.25341055264005   	 0.0                      
218.46935559595332   	 0.0                      
218.68529155201279   	 0.0                      
218.90121841805532   	 0.0                      
219.11713619131808   	 0.0                      
219.3330448690379    	 0.0                      
219.5489444484518    	 0.0                      
219.76483492679677   	 0.0                      
219.9807163013098    	 0.0                      
220.19658856922783   	 0.0                      
220.41245172778784   	 0.0                      
220.6283057742269    	 0.0                      
220.84415070578186   	 0.0                      
221.05998651968977   	 0.0                      
221.2758132131876    	 0.0                      
221.4916307835124    	 0.0                      
221.70743922790098   	 0.0                      
221.9232385435905    	 0.0                      
222.13902872781782   	 0.0                      
222.35480977781998   	 0.0                      
222.57058169083393   	 0.0                      
222.78634446409666   	 0.0                      
223.0020980948452    	 0.0                      
223.2178425803164    	 0.0                      
223.43357791774736   	 0.0                      
223.649304104375     	 0.0                      
223.86502113743634   	 0.0                      
224.08072901416833   	 0.0                      
224.296427731808     	 0.0                      
224.51211728759222   	 0.0                      
224.7277976787581    	 0.0                      
224.94346890254252   	 0.0                      
225.1591309561825    	 0.0                      
225.37478383691507   	 0.0                      
225.5904275419771    	 0.0                      
225.80606206860566   	 0.0                      
226.02168741403767   	 0.0                      
226.2373035755102    	 0.0                      
226.45291055026007   	 0.0                      
226.66850833552442   	 0.0                      
226.88409692854017   	 0.0                      
227.09967632654428   	 0.0                      
227.31524652677376   	 0.0                      
227.53080752646557   	 0.0                      
227.7463593228567    	 0.0                      
227.96190191318414   	 0.0                      
228.17743529468484   	 0.0                      
228.39295946459578   	 0.0                      
228.60847442015398   	 0.0                      
228.82398015859638   	 0.0                      
229.03947667716      	 0.0                      
229.25496397308177   	 0.0                      
229.47044204359875   	 0.0                      
229.68591088594783   	 0.0                      
229.901370497366     	 0.0                      
230.11682087509027   	 0.0                      
230.33226201635765   	 0.0                      
230.5476939184051    	 0.0                      
230.7631165784695    	 0.0                      
230.97852999378802   	 0.0                      
231.19393416159744   	 0.0                      
231.4093290791349    	 0.0                      
231.62471474363727   	 0.0                      
231.8400911523416    	 0.0                      
232.05545830248485   	 0.0                      
